"id","owner_id","card_type","i_card_type","name","japanese_name","character","i_character","rarity","i_rarity","weapon","i_weapon","obtain_method","image","special_icon","art","special_front","front_top","front_bottom","front_name","front_rarity","front_weapon","transparent","subcard_effect","hp_1","sp_1","atk_1","def_1","hp_50","sp_50","atk_50","def_50","hp_70","sp_70","atk_70","def_70","skill_name","japanese_skill_name","skill_SP","skill_range","skill_affinity","i_skill_affinity","action_skill_effects","skill_comment","skill_preview","action_skill_combo","evolved_action_skill_combo","action_skill_damage","evolved_action_skill_damage","nakayoshi_title","japanese_nakayoshi_title","nakayoshi_skill_effect","nakayoshi_skill_target","evolved_nakayoshi_skill_effect","evolved_nakayoshi_skill_target","charge_comment","charge_damage","charge_hit","charge_name","charge_range"
"77","1","normal","0","【Starsuit Unicorn】 Subaru","【星衣ユニコーン】昴","昴","2","★★★★","3"," 槌","2","首次：通常轉蛋（至2015年6月30日17:59）復刻：通常轉蛋（至2015年11月30日14:59）","hoshimori/static/uploaded/c/icon/Card_20018_s.png","","hoshimori/static/uploaded/c/art/Card_20018.png","","hoshimori/static/uploaded/c/art/front_top/Card_fr_top_4.png","hoshimori/static/uploaded/c/art/front_bottom/Card_fr_bottom_4.png","hoshimori/static/uploaded/c/art/front_name/Card_name_02_4.png","hoshimori/static/uploaded/c/art/front_rarity/Card_icn_rarity_4_0.png","hoshimori/static/uploaded/c/art/front_weapon/Card_icn_wp_3.png","","false","1832","296","948","858","3490","647","2073","1877","3925","739","2369","2145","","雷舞聖獣翔","179","前方中範圍","無視武器屬性","1","武器相性無視","前方に範囲大攻撃
武器相性無視
雷の力を全身に宿し、空中から一気に蹴りを打ち込む","hoshimori/static/uploaded/c/skill/subaru_seii.gif","10","10","Approx. 19 times","","","雷舞賦活陣","HP增加8%，攻擊力增加3％","Everyone","HP增加10%，攻擊力增加4％","Everyone","","","","",""
"345","1","normal","0","【Halloween '15】 Subaru (Reprint)","【ハロウィン’15】昴(復刻)","昴","2","★★★★","3"," 槌","2","限定「5月4日バースデー記念ガチャ」","hoshimori/static/uploaded/c/icon/Card_29032_s.png","hoshimori/static/uploaded/c/icon/special/Card_icn_BirthDay2016_13_02.png","hoshimori/static/uploaded/c/art/Card_29032.png","hoshimori/static/uploaded/c/art/special/Card_fr_BirthDay2016_13_02.png","hoshimori/static/uploaded/c/art/front_top/Card_fr_top_4.png","hoshimori/static/uploaded/c/art/front_bottom/Card_fr_bottom_4.png","hoshimori/static/uploaded/c/art/front_name/Card_name_02_4.png","hoshimori/static/uploaded/c/art/front_rarity/Card_icn_rarity_4_0.png","hoshimori/static/uploaded/c/art/front_weapon/Card_icn_wp_3.png","","false","1664","366","960","884","3170","800","2100","1932","3566","914","2399","2208","","ハーベストシュート","151","前方中範圍","","0","―","コンボ数に応じた強さの前方攻撃
抜群の運動神経で、収穫を祝ったシュートを放つ","hoshimori/static/uploaded/c/skill/subaru_Halloween.gif","13","13","Lv.1: approx. 11.3 times
Lv.2: approx. 16 times
Lv.3: approx. 21 times
Lv.4: approx. 25.5 times
Lv.MAX: approx. 30 times","","","どっちが欲しい？","15combo以後，增加給予傷害，SP增加6％","Everyone","15combo以後，增加給予傷害（大），SP增加8％","Everyone","","","","",""
"122","1","normal","0","【Summer Uniform】 Nozomi","【夏制服】望","望","4","★★","1"," 劍","0","通常轉蛋（至2015年11月13日14:59）","hoshimori/static/uploaded/c/icon/Card_40012_s.png","","hoshimori/static/uploaded/c/art/Card_40012.png","","","","","","","","false","1127","239","591","594","1670","402","994","1000","2254","577","1431","1438","","カトルスラッシュ","84","前方小範圍","","0","―","前方の敵を連続攻撃
合計4回の斬撃は、強大な敵をも打ち倒す","","10","10","1.3 times ×4","","","ファッションリーダー","SP增加5%","Year 2 Students","","","","","","",""
"853","1","normal","0","【Little Red Riding Hood】 Miki","【赤ずきん】みき","みき","1","★★★★","3"," 劍","0","活動「アニメ放送記念ログインボーナスチャレンジ」","hoshimori/static/uploaded/c/icon/Card_10033_s.png","","hoshimori/static/uploaded/c/art/Card_10033.png","","hoshimori/static/uploaded/c/art/front_top/Card_fr_top_4.png","hoshimori/static/uploaded/c/art/front_bottom/Card_fr_bottom_4.png","hoshimori/static/uploaded/c/art/front_name/Card_name_01_4.png","hoshimori/static/uploaded/c/art/front_rarity/Card_icn_rarity_4_0.png","hoshimori/static/uploaded/c/art/front_weapon/Card_icn_wp_1.png","","false","1500","400","1000","1200","3109","874","2186","2642","3500","1000","2500","3000","","インビジブル・レッド","150","自身","","0","10秒間、ダメージ無効","ダメージ無効（短）
小鳥さん、一緒におうたを歌って遊びましょ♪","hoshimori/static/uploaded/c/skill/miki_akazukin.gif","10","10","","","","ちょっとだけ寄り道","增加連擊傷害（大）","Everyone","增加連擊傷害（大），迴避數+1","Everyone","","","","",""
"510","1","normal","0","【Hoshimori Maid '16】 Kaede","【星守メイド’16】楓","楓","12","★★★★","3"," 劍槍","5","限定「学園祭OPEN記念ガチャ」","hoshimori/static/uploaded/c/icon/Card_120059_s.png","","hoshimori/static/uploaded/c/art/Card_120059.png","","hoshimori/static/uploaded/c/art/front_top/Card_fr_top_4.png","hoshimori/static/uploaded/c/art/front_bottom/Card_fr_bottom_4.png","hoshimori/static/uploaded/c/art/front_name/Card_name_12_4.png","hoshimori/static/uploaded/c/art/front_rarity/Card_icn_rarity_4_0.png","hoshimori/static/uploaded/c/art/front_weapon/Card_icn_wp_6.png","","false","1501","480","1020","1100","2860","1050","2233","2407","3217","1200","2550","2750","","エレガントタワー","210","全方位中範圍","無視武器屬性","1","武器相性無視／10秒間、HP％回復＆攻撃エリア設置
HP回復：5％×11、ダメージ約4倍×11","攻撃＋HP回復＆攻撃エリア設置（短）
武器相性無視
盛りすぎたケーキスタンドが塔のようにそびえ立つ！","hoshimori/static/uploaded/c/skill/kaede_maid16.gif","13","13","23 times","26 times","","会心の出来ですわ！","HP增加7%，增加連擊傷害","Everyone","HP增加10%，增加連擊傷害（大）","Everyone","","","","",""
"114","1","normal","0","【Starsuit Galaxy】 Anko","【星衣ギャラクシー】あんこ","あんこ","7","★★★★","3"," 矛","1","通常轉蛋卡片交換所","hoshimori/static/uploaded/c/icon/Card_70023_s.png","","hoshimori/static/uploaded/c/art/Card_70023.png","","hoshimori/static/uploaded/c/art/front_top/Card_fr_top_4.png","hoshimori/static/uploaded/c/art/front_bottom/Card_fr_bottom_4.png","hoshimori/static/uploaded/c/art/front_name/Card_name_07_4.png","hoshimori/static/uploaded/c/art/front_rarity/Card_icn_rarity_4_0.png","hoshimori/static/uploaded/c/art/front_weapon/Card_icn_wp_2.png","","false","1932","351","891","519","3678","790","1940","1134","4139","898","2207","1299","","エレクトロブレイン","164","前方小範圍","無視武器屬性","1","武器相性無視","前方の敵を多段攻撃
武器相性無視
電脳世界の住人である彼女は、指先１つで敵を撃退する","","13","13","Approx. 5 times ×2 + approx. 6 times","","","サイバープログラマー","5combo以後，減少所受傷害（小）","Everyone","減少所受傷害，增加連擊傷害（小）","Everyone","","","","",""
"677","1","normal","0","【Wedding】 Yuri (White Day Reprint)","【ウェディング】ゆり(ホワイトデー復刻)","ゆり","5","★★★★","3"," 杖","4","限定「ホワイトセレクション記念ガチャ」","hoshimori/static/uploaded/c/icon/Card_50073_s.png","hoshimori/static/uploaded/c/icon/special/Card_icn_WhiteDay2017.png","hoshimori/static/uploaded/c/art/Card_50073.png","hoshimori/static/uploaded/c/art/special/Card_fr_WhiteDay2017.png","hoshimori/static/uploaded/c/art/front_top/Card_fr_top_4.png","hoshimori/static/uploaded/c/art/front_bottom/Card_fr_bottom_4.png","hoshimori/static/uploaded/c/art/front_name/Card_name_05_4.png","hoshimori/static/uploaded/c/art/front_rarity/Card_icn_rarity_4_0.png","hoshimori/static/uploaded/c/art/front_weapon/Card_icn_wp_5.png","","false","1728","664","1038","668","3104","1452","2271","1461","3358","1659","2595","1670","","ノンストップトリップ","276","前方小範圍（移動時瞄準敵人）","無視武器屬性","1","武器相性無視","移動しながら5回攻撃
武器相性無視
赤のオープンカーは情熱の証！　誰にも止められない！","hoshimori/static/uploaded/c/skill/yuri_wedding.gif","13","13","7.8 times ×5","9 times ×5","","正義に生きる花嫁","15combo以後，增加連擊傷害（大），SP增加9%","Everyone","15combo以後，增加連擊傷害（超），SP增加12%","Everyone","","","","",""
"261","1","normal","0","【Sirius】 Subaru","【Sirius】昴","昴","2","★★★★","3"," 槌","2","限定「アイドル「蒼」記念ガチャ」限定「復刻アイドル「蒼」記念ガチャ」","hoshimori/static/uploaded/c/icon/Card_20040_s.png","","hoshimori/static/uploaded/c/art/Card_20040.png","","hoshimori/static/uploaded/c/art/front_top/Card_fr_top_4.png","hoshimori/static/uploaded/c/art/front_bottom/Card_fr_bottom_4.png","hoshimori/static/uploaded/c/art/front_name/Card_name_02_4.png","hoshimori/static/uploaded/c/art/front_rarity/Card_icn_rarity_4_0.png","hoshimori/static/uploaded/c/art/front_weapon/Card_icn_wp_3.png","","false","1493","401","984","1082","2884","876","2153","2364","3200","1001","2460","2702","","ハートビート","200","全方位中範圍","無視武器屬性","1","武器相性無視／10秒間、与ダメージ50％UP【赤】orダメージ無効＆状態異常無効【緑】or吹き飛び無効【青】","ランダムな効果の周囲攻撃
武器相性無視
抑えきれない胸の鼓動が、衝動としてあふれだす","hoshimori/static/uploaded/c/skill/subaru_Sirius.gif","13","13","紅色: approx. 25.5 times
綠色: approx. 17 times
藍色: approx. 17 times","紅色: approx. 29.33 times
綠色: approx. 19.55 times
藍色: approx. 19.55 times","","これが……アタシ？","15combo以後，增加給予傷害（大），SP增加9%","Everyone","10combo以後，增加給予傷害（超），SP增加9%","Everyone","","","","",""
"232","1","normal","0","【Christmas '15】 Kaede","【クリスマス’15】楓","楓","12","★★★★","3"," 矛","1","限定「白色Xmas記念轉蛋」","hoshimori/static/uploaded/c/icon/Card_120038_s.png","","hoshimori/static/uploaded/c/art/Card_120038.png","","hoshimori/static/uploaded/c/art/front_top/Card_fr_top_4.png","hoshimori/static/uploaded/c/art/front_bottom/Card_fr_bottom_4.png","hoshimori/static/uploaded/c/art/front_name/Card_name_12_4.png","hoshimori/static/uploaded/c/art/front_rarity/Card_icn_rarity_4_0.png","hoshimori/static/uploaded/c/art/front_weapon/Card_icn_wp_2.png","","false","1935","384","960","698","3693","828","2101","1527","4155","946","2400","1745","","リンギングベル","192","全方位特大範圍","無視武器屬性","1","武器相性無視","周囲の敵を5回攻撃
武器相性無視
聖なるベルの音色が心の奥まで響き渡る","hoshimori/static/uploaded/c/skill/kaede_Xmas.gif","13","13","Approx. 3 times ×4 + approx. 5 times(日)／approx. 4 times ×4 + approx. 7 times(台)","Approx. 3.6 times ×4 + approx. 5 times(日)／approx. 5 times ×4 + approx. 8 times(台)","","心にともる明かり","矛與槌的SP傷害無效，SP增加12%","Spear, Hammer","矛與槌的SP傷害無效，SP增加14%","Spear, Hammer","","","","",""
"38","1","normal","0","【Plain Clothes】 Renge","【私服】蓮華","蓮華","8","★★","1"," 槌","2","通常轉蛋(～2017/06/20 14:59)","hoshimori/static/uploaded/c/icon/Card_80014_s.png","","hoshimori/static/uploaded/c/art/Card_80014.png","","","","","","","","false","1229","200","639","579","1821","336","1076","974","2458","483","1548","1402","","ブレイク・バーン","67","前方小範圍","","0","―","前方に範囲攻撃
渾身の力で槌を叩き付け、衝撃波を起こす","","9","9","5 times","","","女の子は正義♡","HP增加3%","Year 3 Students","","","","","","",""
